"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","p_adj_FDR","nlog10p.adj","nlog10p.FDR","cluster"
"SUB1",1.09474153501067e-163,-0.712066443331246,0.432,0.779,3.55801946293818e-159,7.29545903254215e-163,158.448791680585,162.136947376967,7
"SBDS",1.68483852423683e-163,-0.620212438091145,0.18,0.531,5.47589368762212e-159,1.11847357416645e-162,158.261544992117,161.951374272389,7
"TMEM14C",2.19134769108944e-163,-0.521975234031346,0.129,0.474,7.12209913080979e-159,1.44914410529516e-162,158.147391985778,161.838888425417,7
"UBE2L3",6.44311147587583e-163,-0.515611475400023,0.21,0.587,2.0940756607744e-158,4.24458412494721e-162,157.679007630936,161.372164854557,7
"PSMB7",6.50045623751057e-163,-0.549884465540477,0.245,0.623,2.11271328175331e-158,4.26607888438907e-162,157.675159437449,161.36997111824,7
"RHEB",2.05744137509168e-162,-0.636412052461263,0.241,0.6,6.68689021318546e-158,1.3451302323516e-161,157.174775807083,160.871235666254,7
"PRDX1",3.37758036692831e-162,-0.727954756840245,0.478,0.813,1.09774739505537e-157,2.19988819370501e-161,156.959497584799,160.657599391037,7
"CSTB",5.67258125237415e-162,-0.678632545814732,0.247,0.615,1.84364563283412e-157,3.6807801660142e-161,156.734322551012,160.434060119945,7
"SLC25A5",4.46793079489818e-161,-0.691148364624828,0.26,0.611,1.45212218764986e-156,2.87748080298293e-160,155.83799683874,159.54098756507,7
"BNIP3L",1.01246482008879e-160,-0.716610962251674,0.208,0.563,3.29061191177058e-156,6.49633561142473e-160,155.482723334514,159.187331546817,7
"PSMD7",1.45387179447682e-160,-0.525478566501425,0.156,0.511,4.72522871922911e-156,9.29401006395181e-160,155.325577165124,159.031796861584,7
"MIF",3.14843111281684e-160,-0.913259401139364,0.699,0.85,1.0232715959766e-155,2.00523693753574e-159,154.990009080873,158.697834304049,7
"PYURF",2.62590994439549e-159,-0.533216552068381,0.167,0.521,8.53446991027977e-155,1.66629432500978e-158,154.068823448444,157.778248284779,7
"NDUFA13",5.04501920641412e-159,-0.60257138833915,0.544,0.85,1.63968169227665e-154,3.18963485357904e-158,153.785240452382,157.496259031724,7
"LDHB",9.21230586491848e-159,-0.759360689963355,0.442,0.782,2.99409152915715e-154,5.80308026381361e-158,153.52373492744,157.236341422561,7
"POLR2I",1.16315596778439e-158,-0.538804407756392,0.249,0.621,3.78037321089603e-154,7.30038981962127e-158,153.422465323064,157.136653949196,7
"ATP6V0B",3.12488377629382e-158,-0.596415694686404,0.271,0.636,1.01561847613325e-153,1.94712974652821e-157,152.99326940704,156.710605108406,7
"PSMA6",8.36418775695433e-158,-0.550157977228983,0.214,0.573,2.71844466288773e-153,5.19301729082848e-157,152.565679503143,156.284580231362,7
"ATP5MPL",1.63615656208057e-157,-0.575432251814707,0.39,0.762,5.31767244241806e-153,1.01218861152368e-156,152.274278417819,155.994738553394,7
"SEPTIN7",3.3164357045597e-157,-0.755926113116182,0.659,0.895,1.07787476833895e-152,2.04434572359645e-156,151.967431694232,155.689445657875,7
"LGALS3",3.75875085721973e-157,-1.42651828992196,0.165,0.484,1.22163161610498e-152,2.30875586461254e-156,151.913059736166,155.636621988372,7
"SMS",8.40672803667898e-157,-0.578567344694756,0.117,0.45,2.73227067920103e-152,5.10961808458956e-156,151.563476278395,155.291611559739,7
"COX7B",8.40748282748225e-157,-0.562454576253791,0.397,0.756,2.73251599376e-152,5.10961808458956e-156,151.563437287391,155.291611559739,7
"YWHAQ",9.56466513738096e-157,-0.620722205936394,0.278,0.635,3.10861181630019e-152,5.79249544811212e-156,151.507433506508,155.237134298817,7
"UBC",1.20177726116991e-156,-0.757761644509813,0.699,0.922,3.90589627652833e-152,7.25268375097646e-156,151.408279293851,155.139501259282,7
"SEC11A",1.21238790862768e-156,-0.517705874082118,0.197,0.564,3.94038194183082e-152,7.29122484422082e-156,151.404461679903,155.137199508938,7
"TPM3",1.74645680783174e-156,-0.571853883071579,0.203,0.562,5.67615927113393e-152,1.04666126747138e-155,151.245945426885,154.980193846946,7
"C1orf43",1.81475620804584e-156,-0.518018861068858,0.137,0.479,5.89813915176977e-152,1.08383017823083e-155,151.229284985577,154.965038760634,7
"HNRNPC",2.94981348882347e-156,-0.585207766873216,0.41,0.78,9.58718882002515e-152,1.74961446106849e-155,151.018308719099,154.757057640386,7
"NDUFS5",1.02006781674601e-155,-0.551118781175872,0.51,0.855,3.3153224112062e-151,6.02957894419044e-155,150.479474230578,154.219713014327,7
"PSMA1",1.16825032182036e-155,-0.515568753765913,0.18,0.532,3.79693037094836e-151,6.88191145208855e-155,150.420567366987,154.162290919643,7
"ITM2B",2.42639085043102e-155,-0.821756187061996,0.45,0.758,7.88601290298586e-151,1.42447299586529e-154,150.103142516676,153.846345779389,7
"CAPZB",3.36862193900984e-155,-0.528877491584799,0.179,0.534,1.09483581639759e-150,1.97092931075626e-154,149.960651003544,153.705328951824,7
"GABARAPL2",3.81453378531e-155,-0.612542331422925,0.329,0.694,1.2397616255636e-150,2.22428557886657e-154,149.906661810527,153.652809453887,7
"TMEM59",5.56280447026091e-155,-0.556610820360634,0.293,0.663,1.8079670808795e-150,3.23279478642099e-154,149.74280948134,153.490421862958,7
"HLA-C",6.7790815583418e-155,-0.914450875787433,0.425,0.744,2.20326929727667e-150,3.92640764083824e-154,149.656932417432,153.40600461381,7
"NDUFV2",8.93752379428536e-155,-0.506943782858082,0.198,0.558,2.90478460838069e-150,5.15925286586506e-154,149.536886065291,153.287413185916,7
"CTSB",1.23668486765644e-154,-1.12678431682104,0.141,0.463,4.01934948837018e-150,7.11506027191669e-154,149.39584422962,153.147821416641,7
"MYDGF",2.1072045549275e-154,-0.603998028721947,0.187,0.531,6.84862552396987e-150,1.20831729628069e-153,149.164396579931,152.917819007826,7
"TMEM147",2.94701347664419e-154,-0.59918822361874,0.253,0.603,9.57808850044129e-150,1.68428651016155e-153,149.018721154444,152.773584029702,7
"LSM3",2.966941193798e-154,-0.547898679083175,0.253,0.619,9.64285557396287e-150,1.69007937310077e-153,149.015794337843,152.772092898647,7
"MICOS13",3.11662050096739e-154,-0.543237228687929,0.218,0.579,1.01293282901941e-149,1.76950229758872e-153,148.994419353212,152.752148869122,7
"GADD45GIP1",3.37175666247783e-154,-0.619856623802158,0.305,0.657,1.09585463287192e-149,1.90808262276614e-153,148.960247051991,152.719402823639,7
"ATP5PO",3.82236953868171e-154,-0.628407260137914,0.364,0.724,1.24230832376694e-149,2.15601628227603e-153,148.90577060489,152.666347963673,7
"EIF3K",5.76921060568341e-154,-0.590880823656258,0.345,0.725,1.87505113895317e-149,3.24353664671321e-153,148.726986883103,152.488981190881,7
"PRDX4",9.07312868034002e-154,-0.564511690455205,0.2,0.552,2.94885755239731e-149,5.08448704619054e-153,148.530346205984,152.293752854786,7
"RAB5C",1.7444891067106e-153,-0.524205205592278,0.153,0.497,5.66976404572011e-149,9.74429837599512e-153,148.246435014436,152.011249426162,7
"VAPA",2.48360696526422e-153,-0.542188997479531,0.232,0.596,8.07197099780526e-149,1.38280826517615e-152,148.093020407167,151.859238033303,7
"PMP22",4.64019484970892e-153,-0.757943166350668,0.094,0.407,1.5081097281039e-148,2.57523354038508e-152,147.821567058615,151.589183379943,7
"LAMTOR4",1.15725982965563e-152,-0.544836961924484,0.337,0.709,3.76121017236377e-148,6.40202072431289e-152,147.424672397993,151.193682924312,7
"PSMB5",2.92544508916807e-152,-0.552643721609556,0.225,0.585,9.50798908430516e-148,1.61320071051249e-151,147.021911325538,150.792311595385,7
"CSRP2",1.03619120434685e-151,-0.900127987170131,0.112,0.425,3.36772503324769e-147,5.69575165191931e-151,146.472663374838,150.244448955213,7
"GUK1",1.39706336692357e-151,-0.6156239234929,0.314,0.663,4.54059564883828e-147,7.65502022638119e-151,146.342887171364,150.116053657455,7
"MPC2",1.63226000179392e-151,-0.527130474168055,0.159,0.499,5.30500823183042e-147,8.91544545283642e-151,146.275313937863,150.049856952783,7
"HSP90AB1",1.94692440680672e-151,-0.601147732276859,0.661,0.913,6.32769901456253e-147,1.06006041834335e-150,146.198754186815,149.974669381334,7
"TMBIM6",2.70057831227421e-151,-0.552202379726804,0.407,0.77,8.77714957272241e-147,1.46120420816338e-150,146.056646500703,149.835289085721,7
"MPC1",2.70060337429964e-151,-0.522334807649594,0.143,0.481,8.77723102681125e-147,1.46120420816338e-150,146.056642470363,149.835289085721,7
"BNIP3",2.95877937006333e-151,-0.890678689747182,0.156,0.482,9.61632883064284e-147,1.59589162272791e-150,146.016990694375,149.796996604996,7
"TPM4",5.48395771459911e-151,-0.659567469421314,0.18,0.521,1.78234109682186e-146,2.93953758242176e-150,145.749009178923,149.53172098292,7
"VDAC2",1.21475698645887e-150,-0.527308181002362,0.197,0.546,3.94808168168998e-146,6.45129402654773e-150,145.40361387081,149.19035316409,7
"ATOX1",1.47886749159177e-150,-0.532581353234287,0.242,0.605,4.80646723442242e-146,7.8298321794092e-150,145.318174013917,149.106247546287,7
"MRFAP1",2.60404743784572e-150,-0.554789810626103,0.303,0.663,8.46341457774238e-146,1.3744910941045e-149,145.072454384823,148.861858069785,7
"ATP6V1G1",4.67521366994468e-150,-0.512197443992212,0.378,0.762,1.51949119486872e-145,2.46018865680625e-149,144.818301812222,148.609031588235,7
"SLC25A3",1.6407166923944e-149,-0.598367170981741,0.332,0.677,5.33249332195105e-145,8.55551967091462e-149,144.273069679759,148.067753605836,7
"NDUFB4",1.69788552134226e-149,-0.52873903129363,0.356,0.723,5.51829773291449e-145,8.82695906577334e-149,144.258194871404,148.054188887409,7
"EEF1B2",8.44413309243353e-149,-0.540137598142553,0.416,0.784,2.74442769637182e-144,4.36364482561086e-148,143.561548206486,147.360150605599,7
"PSMB3",1.34388416906358e-148,-0.573886619710769,0.27,0.625,4.36775793787353e-144,6.90340498751111e-148,143.359741438334,147.160936648025,7
"COMT",1.43127571484294e-148,-0.54640797398233,0.177,0.52,4.65178920081105e-144,7.3305100410057e-148,143.332379973866,147.134865807039,7
"RPL24",5.45194985680752e-148,-0.539114547808941,0.748,0.966,1.77193822296101e-143,2.7676663096617e-147,142.751551423473,146.557886272817,7
"YBX1",5.93450166742312e-148,-0.71041501186656,0.576,0.835,1.92877238692919e-143,2.99599679896792e-147,142.714719020118,146.523458654988,7
"MRPS24",5.9364478867151e-148,-0.556961481091605,0.273,0.623,1.92940492766128e-143,2.99599679896792e-147,142.714576616631,146.523458654988,7
"TALDO1",7.12671042427068e-148,-0.513400315051467,0.15,0.483,2.31625215499222e-143,3.5862105516884e-147,142.635214163614,146.445364215958,7
"SELENOK",9.97401931325499e-148,-0.507211841703645,0.331,0.707,3.241656017001e-143,4.98990067671829e-147,142.489233071488,146.301908098862,7
"S100A16",3.09118603596663e-147,-0.965456630035473,0.111,0.41,1.00466637354951e-142,1.54201939250821e-146,141.997978133449,145.811910164543,7
"YWHAB",3.20730182021287e-147,-0.560033012642044,0.388,0.733,1.04240516458738e-142,1.59533225985228e-146,141.981963445582,145.797148852674,7
"RPS10",7.38392784592453e-147,-0.510511647116526,0.449,0.835,2.39985038920393e-142,3.64133127487592e-146,141.619815832109,145.43873980876,7
"ARL6IP5",1.41549996769101e-146,-0.522308266388024,0.172,0.516,4.60051644499255e-142,6.92111315647218e-146,141.337193412531,145.15982405022,7
"TXNDC17",1.99979043807878e-146,-0.506724519328699,0.187,0.53,6.49951890279985e-142,9.75039066701688e-146,141.187118788833,145.01097798316,7
"VAMP5",4.8233516914375e-146,-0.715697999053856,0.036,0.31,1.5676375332341e-141,2.33196219031404e-145,140.804754346954,144.632278495367,7
"HSP90AA1",5.69730106872374e-146,-0.689365777375096,0.804,0.967,1.8516798203459e-141,2.74679934207184e-145,140.732434106357,144.561173065302,7
"PGAM1",9.1301742053684e-146,-0.528293636505072,0.155,0.487,2.96739791848678e-141,4.38960464581222e-145,140.527624212289,144.357574593169,7
"SAP18",1.15901401215183e-145,-0.524412908838177,0.319,0.69,3.76691144089465e-141,5.54143541544058e-145,140.424014589827,144.256377724034,7
"NPM1",1.71287149579016e-145,-0.623619850129404,0.502,0.835,5.5670036484676e-141,8.16689558490004e-145,140.254378494068,144.087942996902,7
"NUCKS1",3.68805676775725e-145,-0.590236039741954,0.454,0.798,1.19865533008878e-140,1.74399615921891e-144,139.921305679086,143.758454475844,7
"FIS1",3.85102673111116e-145,-0.54529436290355,0.288,0.652,1.25162219787844e-140,1.81608528357865e-144,139.90252674312,143.740863760816,7
"RDX",5.62334694489981e-145,-0.794982064590459,0.287,0.618,1.82764399056189e-140,2.64465853593926e-144,139.738108397219,143.577630393773,7
"SNHG29",9.63896264526833e-145,-0.676327848055287,0.472,0.822,3.13275924933866e-140,4.50863130778676e-144,139.504072979105,143.345955277566,7
"PHB",1.03002734271667e-144,-0.506723290890214,0.205,0.552,3.34769186656344e-140,4.79198704455247e-144,139.475254522844,143.31948436476,7
"EIF4A1",1.61429217522521e-144,-0.62016588777712,0.516,0.824,5.24661099869945e-140,7.46988818884372e-144,139.280121134655,143.126685898764,7
"C19orf53",2.4991112814674e-144,-0.518175718808646,0.388,0.751,8.12236157589719e-140,1.15333317428148e-143,139.090317681317,142.938045215819,7
"AP2M1",4.98987522963507e-144,-0.529734012104599,0.28,0.642,1.62175934838369e-139,2.28448929611409e-143,138.790013589966,142.641210872473,7
"C12orf57",1.04026687874108e-143,-0.559191673444155,0.229,0.578,3.3809713825964e-139,4.75000167382834e-143,138.470958505198,142.323306237336,7
"ATP6V0E1",1.56130038413947e-143,-0.577648665762004,0.358,0.719,5.0743823784917e-139,7.07297759324075e-143,138.294616809757,142.150397717734,7
"RPL38",2.13070835193799e-143,-0.529437251928158,0.703,0.954,6.92501521463367e-139,9.62723197760465e-143,138.159579268094,142.016498563307,7
"BLOC1S1",2.40452413147023e-143,-0.508002128472805,0.298,0.665,7.8149438796914e-139,1.08078350284313e-142,138.107074136369,141.966261293038,7
"DPYSL2",3.65686223841377e-143,-0.710565317760714,0.264,0.605,1.18851679610686e-138,1.63941408402654e-142,137.924994676447,141.785311338257,7
"PA2G4",7.22164267748136e-143,-0.568125405780918,0.285,0.636,2.34710608660822e-138,3.22915939412767e-142,137.629467280326,141.490910517299,7
"HSPA8",8.71488335889437e-143,-0.594638231452816,0.448,0.77,2.83242424047426e-138,3.87677543233291e-142,137.547841697487,141.411529355383,7
"EMP3",4.34815569899174e-142,-0.898016697615373,0.132,0.436,1.41319408372931e-137,1.91941604513037e-141,136.849798189387,140.716830879084,7
"SRSF3",4.87222968571547e-142,-0.576303803312434,0.366,0.716,1.58352337015439e-137,2.14527256059819e-141,136.800375522785,140.668517522107,7
"RPL22",9.90765708943113e-142,-0.519107897196581,0.658,0.939,3.22008763063601e-137,4.34025790262897e-141,136.492132309365,140.362484463492,7
"ST13",1.52809351259814e-141,-0.505274362351041,0.329,0.698,4.96645672529523e-137,6.67718836137822e-141,136.303953344356,140.175406372283,7
"VKORC1",2.80705558469661e-141,-0.525938040721386,0.182,0.52,9.12321135582246e-137,1.22039746579001e-140,136.039852263796,139.913498702861,7
"SNRPG",3.09821712962192e-141,-0.566965503664087,0.354,0.709,1.00695154929842e-136,1.34359868485614e-140,135.996991425552,139.871730429927,7
"EIF2S2",5.9490229676897e-141,-0.505119164026383,0.245,0.602,1.93349195472883e-136,2.56060190579362e-140,135.713657630689,139.59165793561,7
"RNASEK",1.18140232498324e-140,-0.532910434171413,0.406,0.763,3.83967569642804e-136,5.07238908686835e-140,135.415705455111,139.294787440497,7
"SEC61B",1.49526256028595e-140,-0.552655623731021,0.438,0.78,4.85975284718537e-136,6.40402773958698e-140,135.313385817123,139.193546795565,7
"HIF1A",4.54121459904836e-140,-0.670077939160856,0.149,0.461,1.47594015683671e-135,1.93057546747721e-139,134.83093125097,138.714313216848,7
"TAGLN2",6.37775401359361e-140,-0.594013705122689,0.135,0.45,2.07283383195806e-135,2.6914433807977e-139,134.683435511585,138.570014751894,7
"FABP7",9.95647839671374e-140,-1.30823794445146,0.371,0.637,3.23595504371593e-135,4.18123642645448e-139,134.489997520558,138.378695274736,7
"CD59",1.52167201022052e-139,-0.528078806846943,0.143,0.463,4.94558620041771e-135,6.37477157679762e-139,134.305782224083,138.195535372418,7
"NAA38",3.53109270821161e-139,-0.511794835518023,0.208,0.545,1.14764044109585e-134,1.4685942203309e-138,133.940194156282,137.833098185296,7
"NAMPT",4.10379186008498e-139,-0.961473829274555,0.16,0.464,1.33377339244622e-134,1.7026790265641e-138,133.874917950607,137.768867213535,7
"SSBP1",3.80403663305523e-138,-0.52488509800249,0.346,0.693,1.23634994610928e-133,1.56700888512013e-137,132.907858585757,136.804928541025,7
"SPTSSA",4.84234314488881e-138,-0.540032064105292,0.12,0.431,1.57380994552031e-133,1.9899724447805e-137,132.803047714541,136.70115293724,7
"TSPO",7.3412282338626e-138,-0.604768854232043,0.143,0.458,2.38597258828768e-133,2.99549880180777e-137,132.622334550114,136.52353084979,7
"MYL12A",1.54330243983658e-137,-0.580562475066324,0.098,0.39,5.01588725971288e-133,6.25291082431442e-137,132.299652233548,136.203917764952,7
"S100A6",2.42528465456874e-137,-1.51421859605745,0.51,0.764,7.88241765581388e-133,9.78047035931227e-137,132.103340557442,136.009640258756,7
"MDH2",4.37917470296656e-137,-0.534938137733788,0.245,0.582,1.42327557021116e-132,1.76187774762711e-136,131.846711005021,135.754024229507,7
"SNRPD1",6.37071415421106e-136,-0.569205403711851,0.298,0.64,2.07054580726014e-131,2.53360659681297e-135,130.683915157038,134.596260818852,7
"HSPE1",1.66091790108733e-135,-0.522128859764291,0.511,0.83,5.39814927032392e-131,6.57510159925854e-135,130.267755110446,134.182097532016,7
"LSM5",2.39781995021653e-135,-0.528018199962098,0.282,0.623,7.79315462019873e-131,9.44894345678933e-135,130.108286707049,134.024616749855,7
"HMGN2",2.61056584281855e-135,-0.82497231829199,0.4,0.728,8.48460004574456e-131,1.02405378288746e-134,130.071368625005,133.989677233792,7
"EID1",2.5340071787996e-134,-0.543231853055163,0.414,0.747,8.23577673181657e-130,9.76271515760737e-134,129.084295435421,133.010429381721,7
"EIF5",1.02952712811544e-133,-0.526752634335565,0.281,0.615,3.34606611908798e-129,3.93133589187444e-133,128.475465481523,132.405459848636,7
"OCIAD2",2.79515876238148e-133,-0.788714686378951,0.199,0.505,9.08454549361605e-129,1.06031736788361e-132,128.04169679588,131.974564124838,7
"ATP5MC2",5.92323236225045e-133,-0.526400470969908,0.516,0.859,1.92510975005502e-128,2.23220503433281e-132,127.715544506423,131.651265916728,7
"IFITM3",8.87139678304097e-133,-1.20240062982288,0.198,0.496,2.88329266845615e-128,3.33595443301279e-132,127.540111272338,131.476779890176,7
"PSME1",3.65001737318647e-132,-0.51701846008612,0.179,0.495,1.18629214645934e-127,1.36362120911685e-131,126.925808344723,130.86530625258,7
"HSP90B1",3.81815364535886e-132,-0.706549441886029,0.412,0.732,1.24093811627808e-127,1.42335490105602e-131,126.906249875575,130.846686798895,7
"UQCRFS1",4.53321386980419e-132,-0.505085903340445,0.207,0.531,1.47333983982506e-127,1.68627740070733e-131,126.831697067456,130.773070980312,7
"PTTG1IP",5.28860107529728e-132,-0.536350385236575,0.15,0.461,1.71884823548237e-127,1.96303773246518e-131,126.764762467351,130.707071352543,7
"SNRPF",2.07705761095214e-131,-0.531055803637086,0.295,0.638,6.75064494135554e-127,7.62766263085828e-131,126.170654733674,130.117608523911,7
"ARL6IP1",5.75498747077747e-131,-0.708482595576311,0.427,0.764,1.87042847787739e-126,2.10894020691336e-130,125.728058893858,129.675935733288,7
"SELENOW",6.39212480725287e-131,-0.569736778023238,0.41,0.732,2.07750448360526e-126,2.33745919858442e-130,125.682458030262,129.631255961197,7
"SNRPE",8.31264149396879e-131,-0.565475373938773,0.352,0.694,2.7016916119548e-126,3.02055141444003e-130,125.568364225584,129.51991376751,7
"NDUFC2",4.02117962978475e-130,-0.517937732825946,0.432,0.771,1.30692359147634e-125,1.4459491752101e-129,124.88374980245,128.839846972127,7
"NDUFS6",5.88837226250127e-130,-0.523726086926674,0.297,0.631,1.91377986903554e-125,2.10857479773386e-129,124.718108018054,128.676010988594,7
"SSR4",5.4391162797583e-127,-0.528296318671307,0.388,0.735,1.76776718208425e-122,1.88134563103464e-126,121.752574932872,125.725531410796,7
"SOD2",1.23806946822977e-126,-1.50811297259244,0.133,0.412,4.02384957869357e-122,4.25678864973024e-126,121.395358262635,125.370917912081,7
"PSAP",1.33982711472378e-126,-0.67741944303681,0.324,0.661,4.35457210556376e-122,4.59749821076192e-126,121.36105451375,125.337478431107,7
"ZFP36L1",1.16174040002243e-124,-0.729414164500425,0.237,0.543,3.77577247411291e-120,3.87097283868479e-124,119.422994183922,123.412179875969,7
"GLRX",3.6827258791238e-124,-0.604277648596844,0.05,0.302,1.19692273797402e-119,1.22238170526301e-123,118.921933882638,122.912793158574,7
