gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,p_adj_FDR,nlog10p.adj,nlog10p.FDR,TE_class,TE_family,deg,nlog10p.adj_max,deglabs
EFEMP2,1.59E-71,-0.264063424,0.061,0.242,5.17E-67,2.18E-71,66.28667451,70.66190099,NA,NA,NO,66.28667451,NA
EI24,9.41E-113,-0.366951568,0.136,0.422,3.06E-108,2.58E-112,107.5144033,111.5879099,NA,NA,NO,107.5144033,NA
EID1,2.53E-134,-0.543231853,0.414,0.747,8.24E-130,9.76E-134,129.0842954,133.0104294,NA,NA,DOWN,129.0842954,NA
EIF1,2.99E-247,-0.823374024,0.758,0.954,9.73E-243,7.49E-246,242.0119863,245.1256913,NA,NA,DOWN,242.0119863,NA
EIF1AX,1.94E-93,-0.372057472,0.327,0.637,6.31E-89,3.69E-93,88.1999877,92.43340752,NA,NA,NO,88.1999877,NA
EIF1B,6.58E-91,-0.342835722,0.235,0.522,2.14E-86,1.20E-90,85.66988028,89.92200243,NA,NA,NO,85.66988028,NA
EIF2S2,5.95E-141,-0.505119164,0.245,0.602,1.93E-136,2.56E-140,135.7136576,139.5916579,NA,NA,DOWN,135.7136576,NA
EIF3D,2.04E-80,-0.274589868,0.186,0.443,6.62E-76,3.05E-80,75.17923759,79.51592283,NA,NA,NO,75.17923759,NA
EIF3F,3.70E-63,-0.25491947,0.283,0.545,1.20E-58,4.80E-63,57.91955964,62.31859363,NA,NA,NO,57.91955964,NA
EIF3G,2.61E-105,-0.375497214,0.218,0.52,8.49E-101,6.20E-105,100.0708702,104.2078575,NA,NA,NO,100.0708702,NA
EIF3H,4.28E-97,-0.378182467,0.295,0.616,1.39E-92,8.71E-97,91.85650076,96.05975254,NA,NA,NO,91.85650076,NA
EIF3I,5.92E-141,-0.479689044,0.228,0.579,1.93E-136,2.56E-140,135.7155212,139.5924371,NA,NA,NO,135.7155212,NA
EIF3K,5.77E-154,-0.590880824,0.345,0.725,1.88E-149,3.24E-153,148.7269869,152.4889812,NA,NA,DOWN,148.7269869,NA
EIF3L,8.77E-98,-0.370927907,0.186,0.467,2.85E-93,1.82E-97,92.54501198,96.74103396,NA,NA,NO,92.54501198,NA
EIF3M,8.04E-96,-0.345004369,0.166,0.435,2.61E-91,1.60E-95,90.5829751,94.79685081,NA,NA,NO,90.5829751,NA
EIF4A1,1.61E-144,-0.620165888,0.516,0.824,5.25E-140,7.47E-144,139.2801211,143.1266859,NA,NA,DOWN,139.2801211,NA
EIF4E,4.13E-97,-0.320901571,0.135,0.4,1.34E-92,8.42E-97,91.87174185,96.07448119,NA,NA,NO,91.87174185,NA
EIF4EBP1,9.59E-77,-0.377939847,0.151,0.377,3.12E-72,1.38E-76,71.50648284,75.86088178,NA,NA,NO,71.50648284,NA
EIF4G2,6.55E-108,-0.395235648,0.288,0.616,2.13E-103,1.63E-107,102.6717244,106.7866864,NA,NA,NO,102.6717244,NA
EIF4H,3.26E-74,-0.258271938,0.22,0.482,1.06E-69,4.55E-74,68.97533624,73.34185913,NA,NA,NO,68.97533624,NA
EIF5,1.03E-133,-0.526752634,0.281,0.615,3.35E-129,3.93E-133,128.4754655,132.4054598,NA,NA,DOWN,128.4754655,NA
EIF5A,8.60E-97,-0.453391256,0.257,0.538,2.80E-92,1.73E-96,91.55359268,95.76092238,NA,NA,NO,91.55359268,NA
EIF6,3.08E-103,-0.355466568,0.15,0.423,1.00E-98,7.01E-103,98.00018787,102.1541397,NA,NA,NO,98.00018787,NA
ELL2,1.07E-68,-0.317359492,0.03,0.185,3.48E-64,1.44E-68,63.45896904,67.8413741,NA,NA,NO,63.45896904,NA
ELOB,9.74E-172,-0.59738275,0.522,0.868,3.17E-167,7.38E-171,166.4994423,170.132233,NA,NA,DOWN,166.4994423,NA
ELOC,5.40E-169,-0.54821854,0.242,0.625,1.76E-164,3.85E-168,163.7556154,167.4142867,NA,NA,DOWN,163.7556154,NA
ELOF1,1.59E-84,-0.262593202,0.1,0.325,5.18E-80,2.58E-84,79.28588839,83.58809393,NA,NA,NO,79.28588839,NA
EMC3,3.12E-82,-0.252090978,0.118,0.351,1.01E-77,4.84E-82,76.99402765,81.31498837,NA,NA,NO,76.99402765,NA
EMC4,4.75E-126,-0.386663377,0.134,0.44,1.54E-121,1.61E-125,120.8113324,124.7929061,NA,NA,NO,120.8113324,NA
EMC7,1.62E-124,-0.392286003,0.121,0.419,5.27E-120,5.40E-124,119.2779137,123.2679369,NA,NA,NO,119.2779137,NA
EMP1,1.14E-82,-0.494411008,0.072,0.275,3.69E-78,1.77E-82,77.43290815,81.75112636,NA,NA,NO,77.43290815,NA
EMP3,4.35E-142,-0.898016698,0.132,0.436,1.41E-137,1.92E-141,136.8497982,140.7168309,NA,NA,DOWN,136.8497982,NA
ENO1,1.63E-245,-1.118893011,0.443,0.804,5.29E-241,3.80E-244,240.2762319,243.4203195,NA,NA,DOWN,240.2762319,NA
ENO2,2.88E-67,-0.313511305,0.09,0.278,9.36E-63,3.85E-67,62.02858263,66.41503709,NA,NA,NO,62.02858263,NA
ENOPH1,1.42E-96,-0.326539832,0.103,0.349,4.62E-92,2.87E-96,91.33503214,95.54286889,NA,NA,NO,91.33503214,NA
ENSA,2.69E-101,-0.327540177,0.166,0.447,8.73E-97,5.87E-101,96.05906972,100.2310027,NA,NA,NO,96.05906972,NA
ENY2,1.94E-68,-0.268313089,0.35,0.634,6.30E-64,2.61E-68,63.20034025,67.58409931,NA,NA,NO,63.20034025,NA
EPAS1,4.78E-53,-0.291002254,0.062,0.209,1.55E-48,5.86E-53,47.8089765,52.23181776,NA,NA,NO,47.8089765,NA
ERCC1,1.21E-99,-0.319653861,0.141,0.411,3.92E-95,2.59E-99,94.40622016,98.58633214,NA,NA,NO,94.40622016,NA
ERG28,3.13E-83,-0.251581985,0.08,0.292,1.02E-78,4.96E-83,77.99304129,82.30452612,NA,NA,NO,77.99304129,NA
ERGIC3,3.87E-120,-0.419208925,0.212,0.533,1.26E-115,1.20E-119,114.8999615,118.9214516,NA,NA,NO,114.8999615,NA
ERH,6.13E-185,-0.694235199,0.325,0.722,1.99E-180,5.81E-184,179.7006807,183.235608,NA,NA,DOWN,179.7006807,NA
ERI3,1.93E-80,-0.271317503,0.078,0.283,6.26E-76,2.88E-80,75.2035882,79.53989661,NA,NA,NO,75.2035882,NA
ERO1A,1.56E-56,-0.27349486,0.032,0.167,5.06E-52,1.95E-56,51.2955334,55.71026842,NA,NA,NO,51.2955334,NA
ERRFI1,1.78E-45,-0.298719557,0.031,0.144,5.80E-41,2.10E-45,40.23660245,44.67818444,NA,NA,NO,40.23660245,NA
ERV3-1,0.022601256,0.286670197,0.183,0.184,1,0.023401181,0,1.630762232,NA,NA,NO,0,NA
ERV3-16A3-I-int,0.385606394,0.276323262,0.223,0.246,1,0.392890576,0,0.405728388,LTR,ERVL,NO,0,NA
ERVK3-1,1.89E-85,-0.270077341,0.088,0.308,6.14E-81,3.12E-85,80.2116503,84.50603792,NA,NA,NO,80.2116503,NA
ERVL-E-int,0.717914303,0.302582657,0.32,0.385,1,0.722519001,0,0.141150727,LTR,ERVL,NO,0,NA
ESD,1.34E-123,-0.445741467,0.151,0.454,4.35E-119,4.39E-123,118.3616491,122.3574908,NA,NA,NO,118.3616491,NA
ETFB,6.88E-98,-0.354176417,0.232,0.527,2.24E-93,1.43E-97,92.65065894,96.84459297,NA,NA,NO,92.65065894,NA
ETFRF1,3.47E-87,-0.28022051,0.093,0.32,1.13E-82,5.91E-87,81.94725513,86.22814901,NA,NA,NO,81.94725513,NA
EXOSC8,1.46E-70,-0.26571367,0.085,0.278,4.76E-66,1.99E-70,65.32268829,69.70203133,NA,NA,NO,65.32268829,NA
F3,2.88E-52,-0.308704312,0.085,0.241,9.36E-48,3.51E-52,47.02855078,51.45416315,NA,NA,NO,47.02855078,NA
FABP5,6.50E-121,-0.826319561,0.346,0.64,2.11E-116,2.04E-120,115.6750475,119.6894758,NA,NA,DOWN,115.6750475,NA
FABP7,9.96E-140,-1.308237944,0.371,0.637,3.24E-135,4.18E-139,134.4899975,138.3786953,NA,NA,DOWN,134.4899975,NA
FAM,1.49E-19,0.510096615,0.576,0.645,4.83E-15,1.62E-19,14.31567088,18.79082999,SINE,Alu,UP,14.31567088,FAM
FAM107A,1.83E-32,-0.285355466,0.026,0.11,5.95E-28,2.05E-32,27.22513804,31.6875147,NA,NA,NO,27.22513804,NA
FAM162A,8.40E-121,-0.541732731,0.184,0.488,2.73E-116,2.64E-120,115.5639067,119.5791253,NA,NA,DOWN,115.5639067,NA
FAM177A1,2.25E-78,-0.252765408,0.139,0.374,7.32E-74,3.27E-78,73.1353362,77.48537399,NA,NA,NO,73.1353362,NA
FAM229B,3.07E-76,-0.275902347,0.112,0.328,9.98E-72,4.39E-76,71.00095526,75.35787813,NA,NA,NO,71.00095526,NA
FAM3C,3.06E-93,-0.372476065,0.194,0.468,9.96E-89,5.77E-93,88.00179551,92.23854692,NA,NA,NO,88.00179551,NA
FAU,7.14E-183,-0.506812385,0.712,0.968,2.32E-178,6.42E-182,177.6344938,181.192651,NA,NA,DOWN,177.6344938,NA
FBL,1.05E-72,-0.313294066,0.172,0.4,3.43E-68,1.45E-72,67.46510435,71.83721759,NA,NA,NO,67.46510435,NA
FCER1G,1.49E-52,-1.113132594,0.042,0.167,4.84E-48,1.82E-52,47.31559694,51.73997988,NA,NA,DOWN,47.31559694,NA
FCGBP,2.70E-43,-1.103552252,0.012,0.107,8.79E-39,3.15E-43,38.05603412,42.50232396,NA,NA,DOWN,38.05603412,NA
FCGR2A,4.17E-44,-0.301165348,0.008,0.103,1.35E-39,4.87E-44,38.86821273,43.31244916,NA,NA,NO,38.86821273,NA
FCGR3A,1.13E-47,-0.61675536,0.009,0.109,3.68E-43,1.34E-47,42.43393203,46.87194933,NA,NA,DOWN,42.43393203,NA
FCGRT,1.36E-122,-0.660452774,0.1,0.369,4.43E-118,4.42E-122,117.3538283,121.3545959,NA,NA,DOWN,117.3538283,NA
FDFT1,4.04E-77,-0.348454896,0.055,0.24,1.31E-72,5.82E-77,71.88202274,76.23497283,NA,NA,NO,71.88202274,NA
FDPS,5.58E-65,-0.301748371,0.214,0.451,1.82E-60,7.33E-65,59.74112043,64.13490211,NA,NA,NO,59.74112043,NA
FERMT2,9.58E-90,-0.343530769,0.104,0.339,3.11E-85,1.71E-89,84.50691716,88.76719957,NA,NA,NO,84.50691716,NA
FEZ1,4.57E-117,-0.638295405,0.168,0.46,1.48E-112,1.35E-116,111.8285087,115.8690332,NA,NA,DOWN,111.8285087,NA
FEZ2,7.97E-123,-0.435055408,0.135,0.436,2.59E-118,2.60E-122,117.5864207,121.5855525,NA,NA,NO,117.5864207,NA
FHL1,1.48E-84,-0.389435879,0.141,0.38,4.80E-80,2.40E-84,79.31918801,83.6205772,NA,NA,NO,79.31918801,NA
FIBP,7.41E-134,-0.418847029,0.128,0.438,2.41E-129,2.84E-133,128.6181605,132.5462289,NA,NA,NO,128.6181605,NA
FIS1,3.85E-145,-0.545294363,0.288,0.652,1.25E-140,1.82E-144,139.9025267,143.7408638,NA,NA,DOWN,139.9025267,NA
FKBP1A,3.20E-182,-0.696169035,0.239,0.62,1.04E-177,2.84E-181,176.982455,180.5473455,NA,NA,DOWN,176.982455,NA
FKBP3,3.91E-110,-0.424469227,0.199,0.498,1.27E-105,1.02E-109,104.8956125,108.9932901,NA,NA,NO,104.8956125,NA
FKBP8,8.93E-110,-0.386338901,0.184,0.484,2.90E-105,2.29E-109,104.5372875,108.6401585,NA,NA,NO,104.5372875,NA
FLAM-A,3.12E-26,0.485416006,0.601,0.648,1.01E-21,3.44E-26,20.99444947,25.46354215,SINE,Alu,NO,20.99444947,NA
FLAM-C,2.48E-92,0.64797452,0.855,0.893,8.05E-88,4.62E-92,87.09407885,91.33554576,SINE,Alu,UP,87.09407885,FLAM-C
FLOT1,2.91E-135,-0.453548021,0.131,0.445,9.47E-131,1.14E-134,130.0237127,133.9430073,NA,NA,NO,130.0237127,NA
FN1,5.00E-52,-0.78783687,0.06,0.198,1.62E-47,6.09E-52,46.78924965,51.21547543,NA,NA,DOWN,46.78924965,NA
FOS,3.88E-27,-0.262605651,0.552,0.723,1.26E-22,4.29E-27,21.89972855,26.36798738,NA,NA,NO,21.89972855,NA
FRAM,9.74E-51,0.571476655,0.654,0.684,3.17E-46,1.17E-50,45.49933724,49.93043936,SINE,Alu,UP,45.49933724,NA
FSCN1,3.82E-72,-0.29417164,0.15,0.377,1.24E-67,5.24E-72,66.90653647,71.28072768,NA,NA,NO,66.90653647,NA
FTH1,0,-1.863315768,0.843,0.929,0,0,Inf,Inf,NA,NA,DOWN,320,NA
FTL,1.01E-278,-1.877835599,0.835,0.978,3.28E-274,3.63E-277,273.483825,276.4399222,NA,NA,DOWN,273.483825,NA
FTX,0.872778604,0.311993735,0.263,0.31,1,0.873284563,0,0.058844217,NA,NA,NO,0,NA
FUNDC2,3.52E-103,-0.342345331,0.109,0.369,1.15E-98,8.00E-103,97.94116117,102.0968307,NA,NA,NO,97.94116117,NA
FUS,9.24E-05,0.302240433,0.587,0.699,1,9.72E-05,0,4.012273385,NA,NA,NO,0,NA
FXYD6,1.04E-46,-0.390680988,0.287,0.492,3.37E-42,1.23E-46,41.47256545,45.91177424,NA,NA,NO,41.47256545,NA
FYB1,1.34E-39,-0.421335972,0.02,0.113,4.36E-35,1.54E-39,34.36009921,38.81335649,NA,NA,NO,34.36009921,NA
GABARAP,9.91E-254,-0.822357615,0.487,0.873,3.22E-249,2.71E-252,248.4922261,251.5664225,NA,NA,DOWN,248.4922261,NA
GABARAPL2,3.81E-155,-0.612542331,0.329,0.694,1.24E-150,2.22E-154,149.9066618,153.6528095,NA,NA,DOWN,149.9066618,NA
GABPB1-AS1,0.000115427,0.405596396,0.375,0.417,1,0.000121332,0,3.916025337,NA,NA,NO,0,NA
GADD45A,9.57E-59,-0.348514788,0.169,0.374,3.11E-54,1.21E-58,53.50716808,57.91779253,NA,NA,NO,53.50716808,NA
GADD45B,1.28E-59,-0.393202726,0.18,0.384,4.15E-55,1.62E-59,54.38165932,58.78973471,NA,NA,NO,54.38165932,NA
GADD45G,0.012612001,0.340279755,0.203,0.197,1,0.01308192,0,1.883328518,NA,NA,NO,0,NA
GADD45GIP1,3.37E-154,-0.619856624,0.305,0.657,1.10E-149,1.91E-153,148.9602471,152.7194028,NA,NA,DOWN,148.9602471,NA
GAP43,1.72E-88,-0.96003349,0.397,0.62,5.58E-84,2.98E-88,83.25353741,87.52534259,NA,NA,DOWN,83.25353741,NA
GAPDH,0,-1.494659676,0.896,0.993,0,0,Inf,Inf,NA,NA,DOWN,320,NA
GATM,3.12E-68,-0.428813618,0.139,0.347,1.01E-63,4.18E-68,62.99432548,67.37875996,NA,NA,NO,62.99432548,NA
GBP1,2.99E-53,-0.538940607,0.025,0.149,9.72E-49,3.68E-53,48.01239607,52.43461911,NA,NA,DOWN,48.01239607,NA
GBP2,5.94E-70,-0.41694683,0.027,0.182,1.93E-65,8.05E-70,64.71425501,69.09428037,NA,NA,NO,64.71425501,NA
GCSH,5.93E-91,-0.366557316,0.215,0.494,1.93E-86,1.08E-90,85.71539147,89.96705574,NA,NA,NO,85.71539147,NA
GDI2,1.00E-91,-0.298823755,0.139,0.393,3.25E-87,1.85E-91,86.48814468,90.73288226,NA,NA,NO,86.48814468,NA
GET1,3.35E-82,-0.256441402,0.1,0.323,1.09E-77,5.19E-82,76.96339041,81.28474151,NA,NA,NO,76.96339041,NA
GET3,1.17E-123,-0.395451367,0.123,0.419,3.79E-119,3.83E-123,118.4215904,122.4166056,NA,NA,NO,118.4215904,NA
GFAP,2.49E-28,-0.763538962,0.327,0.465,8.08E-24,2.75E-28,23.09274807,27.56017145,NA,NA,DOWN,23.09274807,NA
GGCT,6.57E-124,-0.443829458,0.101,0.383,2.13E-119,2.17E-123,118.6706473,122.6631737,NA,NA,NO,118.6706473,NA
GHITM,6.14E-115,-0.355222813,0.119,0.4,1.99E-110,1.74E-114,109.7002039,113.7596771,NA,NA,NO,109.7002039,NA
GJA1,6.20E-48,-0.285674717,0.02,0.131,2.01E-43,7.36E-48,42.69605568,47.13287823,NA,NA,NO,42.69605568,NA
GLCCI1,0.038403463,0.25524683,0.187,0.187,1,0.039691244,0,1.40130529,NA,NA,NO,0,NA
GLIPR2,1.39E-75,-0.282697874,0.048,0.229,4.52E-71,1.97E-75,70.34477531,74.70563495,NA,NA,NO,70.34477531,NA
GLO1,1.84E-148,-0.471565055,0.113,0.437,5.99E-144,9.41E-148,143.2224723,147.0262449,NA,NA,NO,143.2224723,NA
GLRX,3.68E-124,-0.604277649,0.05,0.302,1.20E-119,1.22E-123,118.9219339,122.9127932,NA,NA,DOWN,118.9219339,NA
GLUL,1.17E-192,-1.3107903,0.217,0.585,3.79E-188,1.29E-191,187.4216977,190.8896783,NA,NA,DOWN,187.4216977,NA
GMNN,5.39E-83,-0.345447162,0.054,0.248,1.75E-78,8.49E-83,77.75689433,82.07116438,NA,NA,NO,77.75689433,NA
GNAI2,1.69E-135,-0.478083755,0.159,0.477,5.51E-131,6.69E-135,130.2590973,134.1744347,NA,NA,NO,130.2590973,NA
GNB2,1.14E-83,-0.352402288,0.202,0.464,3.72E-79,1.83E-83,78.42957155,82.73825318,NA,NA,NO,78.42957155,NA
GNG10,1.78E-186,-0.664219178,0.171,0.556,5.78E-182,1.73E-185,181.238067,184.7608962,NA,NA,DOWN,181.238067,NA
GNG5,3.09E-181,-0.636149841,0.287,0.678,1.00E-176,2.68E-180,175.9980512,179.5717603,NA,NA,DOWN,175.9980512,NA
GOLGA7,1.50E-112,-0.383393151,0.086,0.347,4.87E-108,4.09E-112,107.3122565,111.3885161,NA,NA,NO,107.3122565,NA
GPI,2.73E-82,-0.308716372,0.136,0.371,8.88E-78,4.25E-82,77.05140632,81.37158523,NA,NA,NO,77.05140632,NA
GPM6A,0.000175726,0.302688358,0.537,0.582,1,0.000184267,0,3.734551787,NA,NA,NO,0,NA
GPM6B,1.41E-100,-0.790718566,0.587,0.745,4.58E-96,3.05E-100,95.3394933,99.51580756,NA,NA,DOWN,95.3394933,NA
GPX4,4.78E-239,-0.910162676,0.288,0.697,1.56E-234,9.95E-238,233.8082573,237.0021913,NA,NA,DOWN,233.8082573,NA
GRHPR,8.19E-81,-0.320369006,0.181,0.432,2.66E-76,1.24E-80,75.57485785,79.90776001,NA,NA,NO,75.57485785,NA
GRIA2,2.75E-25,0.610343842,0.346,0.291,8.93E-21,3.02E-25,20.04931142,24.5197903,NA,NA,UP,20.04931142,NA
GRID2,9.08E-05,0.274866827,0.156,0.137,1,9.55E-05,0,4.019773864,NA,NA,NO,0,NA
GRN,9.38E-85,-0.352413739,0.12,0.353,3.05E-80,1.53E-84,79.51582607,83.81598786,NA,NA,NO,79.51582607,NA
GSATII,0.001228718,0.370066924,0.237,0.238,1,0.001282205,0,2.892042563,Satellite,centr,NO,0,NA
GSN,4.99E-80,-0.544216988,0.069,0.264,1.62E-75,7.44E-80,74.78974307,79.12868243,NA,NA,DOWN,74.78974307,NA
GSTK1,5.91E-74,-0.260574749,0.194,0.441,1.92E-69,8.24E-74,68.71633365,73.08426089,NA,NA,NO,68.71633365,NA
GSTM3,7.42E-60,-0.276763088,0.124,0.312,2.41E-55,9.43E-60,54.6176312,59.0253869,NA,NA,NO,54.6176312,NA
GSTO1,2.22E-125,-0.488962226,0.105,0.386,7.21E-121,7.47E-125,120.1418513,124.1268246,NA,NA,NO,120.1418513,NA
GSTP1,0,-1.003419081,0.369,0.813,0,0,Inf,Inf,NA,NA,DOWN,320,NA
GTF2A2,3.40E-147,-0.468697761,0.182,0.533,1.11E-142,1.69E-146,141.9561915,145.7726267,NA,NA,NO,141.9561915,NA
GTF2H5,1.90E-122,-0.402015295,0.166,0.481,6.17E-118,6.13E-122,117.2093883,121.212598,NA,NA,NO,117.2093883,NA
GTF3A,3.68E-88,-0.330410332,0.178,0.441,1.20E-83,6.34E-88,82.9220059,87.19772955,NA,NA,NO,82.9220059,NA
GTF3C6,1.06E-133,-0.44187546,0.219,0.563,3.45E-129,4.05E-133,128.4619182,132.3928723,NA,NA,NO,128.4619182,NA
GUK1,1.40E-151,-0.615623923,0.314,0.663,4.54E-147,7.66E-151,146.3428872,150.1160537,NA,NA,DOWN,146.3428872,NA
H2AFV,1.82E-60,-0.300379034,0.278,0.517,5.93E-56,2.33E-60,55.22689768,59.63240896,NA,NA,NO,55.22689768,NA
H2AFY,1.02E-116,-0.424747783,0.181,0.489,3.31E-112,3.00E-116,111.4799219,115.5234159,NA,NA,NO,111.4799219,NA
H2AFZ,4.68E-196,-1.119785776,0.452,0.806,1.52E-191,5.35E-195,190.8178385,194.2716713,NA,NA,DOWN,190.8178385,NA
H3F3A,1.46E-112,-0.532742625,0.723,0.929,4.73E-108,3.98E-112,107.3250147,111.4005877,NA,NA,DOWN,107.3250147,NA
H3F3B,1.23E-259,-0.79649092,0.803,0.97,4.00E-255,3.73E-258,254.3978846,257.4286154,NA,NA,DOWN,254.3978846,NA
HACD3,1.50E-115,-0.404473431,0.113,0.394,4.88E-111,4.32E-115,110.3117991,114.3648063,NA,NA,NO,110.3117991,NA
HADHB,2.72E-93,-0.311022094,0.117,0.364,8.84E-89,5.14E-93,88.05345141,92.28877812,NA,NA,NO,88.05345141,NA
HAL1,2.82E-243,0.660887898,0.987,0.982,9.16E-239,6.32E-242,238.038023,241.1993696,LINE,L1,UP,238.038023,NA
HAL1b,0.058425974,0.312426091,0.408,0.496,1,0.060312937,0,1.219589519,LINE,L1,NO,0,NA
HAL1M8,3.30E-08,0.403876561,0.446,0.499,0.001072281,3.51E-08,2.96969147,7.455133427,LINE,L1,NO,2.96969147,NA
HAL1ME,4.09E-20,0.392376337,0.645,0.732,1.33E-15,4.45E-20,14.87661807,19.35150327,LINE,L1,NO,14.87661807,NA
Harlequin-int,0.00749322,0.282678654,0.45,0.531,1,0.007795839,0,2.108137133,LTR,ERV1,NO,0,NA
HDDC2,4.85E-122,-0.397699323,0.149,0.453,1.58E-117,1.56E-121,116.8019525,120.8075907,NA,NA,NO,116.8019525,NA
HDHD2,1.95E-79,-0.25466012,0.062,0.256,6.34E-75,2.87E-79,74.19805524,78.54220918,NA,NA,NO,74.19805524,NA
HERVS71-int,0.642601887,0.284590601,0.193,0.224,1,0.647856809,0,0.188520972,LTR,ERV1,NO,0,NA
HES1,2.65E-39,-0.400818755,0.118,0.258,8.61E-35,3.03E-39,34.06497836,38.51909876,NA,NA,NO,34.06497836,NA
HEY1,3.19E-56,-0.290625078,0.128,0.312,1.04E-51,3.98E-56,50.98433274,55.40063845,NA,NA,NO,50.98433274,NA
HIF1A,4.54E-140,-0.670077939,0.149,0.461,1.48E-135,1.93E-139,134.8309313,138.7143132,NA,NA,DOWN,134.8309313,NA
HIGD1A,6.81E-115,-0.39141246,0.089,0.354,2.21E-110,1.92E-114,109.6547289,113.7163363,NA,NA,NO,109.6547289,NA
HIGD2A,9.16E-107,-0.384035295,0.242,0.554,2.98E-102,2.22E-106,101.5259979,105.6533338,NA,NA,NO,101.5259979,NA
HIKESHI,1.29E-143,-0.443995211,0.106,0.418,4.20E-139,5.87E-143,138.3767717,142.2314112,NA,NA,NO,138.3767717,NA
HILPDA,5.75E-76,-0.87822134,0.168,0.39,1.87E-71,8.19E-76,70.72812927,75.08684601,NA,NA,DOWN,70.72812927,NA
HINT1,2.59E-206,-0.69773866,0.544,0.892,8.41E-202,3.55E-205,201.075083,204.4503095,NA,NA,DOWN,201.075083,NA
HIST1H4C,9.07E-53,-1.34865596,0.328,0.543,2.95E-48,1.11E-52,47.53068116,51.95413975,NA,NA,DOWN,47.53068116,NA
HLA-A,7.08E-78,-0.626632468,0.633,0.835,2.30E-73,1.03E-77,72.63793518,76.98906737,NA,NA,DOWN,72.63793518,NA
HLA-B,2.46E-75,-0.77962526,0.556,0.773,7.98E-71,3.47E-75,70.0977538,74.4593254,NA,NA,DOWN,70.0977538,NA
HLA-C,6.78E-155,-0.914450876,0.425,0.744,2.20E-150,3.93E-154,149.6569324,153.4060046,NA,NA,DOWN,149.6569324,NA
HLA-DMA,1.23E-32,-0.322189158,0.093,0.203,4.01E-28,1.38E-32,27.39698415,31.85879642,NA,NA,NO,27.39698415,NA
HLA-DMB,3.19E-33,-0.314645161,0.031,0.116,1.04E-28,3.58E-33,27.98444177,32.44568891,NA,NA,NO,27.98444177,NA
HLA-DPA1,5.59E-56,-0.895659385,0.087,0.236,1.82E-51,6.96E-56,50.74064059,55.15725975,NA,NA,DOWN,50.74064059,NA
HLA-DPB1,2.20E-52,-0.854795517,0.08,0.223,7.15E-48,2.69E-52,47.14587878,51.57087687,NA,NA,DOWN,47.14587878,NA
HLA-DQB1,1.89E-39,-0.44747945,0.028,0.124,6.15E-35,2.16E-39,34.21126573,38.66509861,NA,NA,NO,34.21126573,NA
HLA-DRA,9.63E-50,-1.244583865,0.146,0.297,3.13E-45,1.15E-49,44.50436476,48.93788467,NA,NA,DOWN,44.50436476,NA
HLA-DRB1,1.05E-50,-0.94000341,0.073,0.208,3.41E-46,1.26E-50,45.46714152,49.8985466,NA,NA,DOWN,45.46714152,NA
HLA-E,4.57E-105,-0.714979122,0.166,0.426,1.48E-100,1.08E-104,99.82827768,103.967051,NA,NA,DOWN,99.82827768,NA
HMGB1,2.29E-178,-0.985840219,0.665,0.921,7.44E-174,1.91E-177,173.128561,176.7193873,NA,NA,DOWN,173.128561,NA
HMGB2,7.86E-85,-1.068655775,0.205,0.438,2.55E-80,1.28E-84,79.59275775,83.89209935,NA,NA,DOWN,79.59275775,NA
HMGB3,6.23E-58,-0.329553004,0.094,0.262,2.02E-53,7.84E-58,52.69362049,57.10583054,NA,NA,NO,52.69362049,NA
HMGN1,3.47E-63,-0.362933219,0.376,0.629,1.13E-58,4.51E-63,57.94734451,62.34605209,NA,NA,NO,57.94734451,NA
HMGN2,2.61E-135,-0.824972318,0.4,0.728,8.48E-131,1.02E-134,130.0713686,133.9896772,NA,NA,DOWN,130.0713686,NA
HMGN3,3.35E-74,-0.31293845,0.334,0.615,1.09E-69,4.67E-74,68.96342681,73.33030121,NA,NA,NO,68.96342681,NA
HMOX1,7.71E-48,-0.529118468,0.013,0.117,2.51E-43,9.16E-48,42.60106164,47.03818319,NA,NA,DOWN,42.60106164,NA
HNRNPA0,5.25E-74,-0.288765506,0.273,0.543,1.71E-69,7.32E-74,68.76811947,73.13569605,NA,NA,NO,68.76811947,NA
HNRNPA1,4.74E-99,-0.537579908,0.603,0.866,1.54E-94,1.01E-98,93.81250098,97.99584193,NA,NA,DOWN,93.81250098,NA
HNRNPA2B1,8.18E-42,-0.307277627,0.715,0.886,2.66E-37,9.46E-42,36.57545968,41.02408444,NA,NA,NO,36.57545968,NA
HNRNPA3,1.30E-75,-0.307925095,0.347,0.639,4.23E-71,1.84E-75,70.37352994,74.73403316,NA,NA,NO,70.37352994,NA
HNRNPC,2.95E-156,-0.585207767,0.41,0.78,9.59E-152,1.75E-155,151.0183087,154.7570576,NA,NA,DOWN,151.0183087,NA
HNRNPDL,9.60E-51,-0.26366996,0.526,0.781,3.12E-46,1.16E-50,45.5058192,49.93661815,NA,NA,NO,45.5058192,NA
HNRNPF,7.40E-89,-0.31926093,0.139,0.386,2.40E-84,1.30E-88,83.61893947,87.88767231,NA,NA,NO,83.61893947,NA
HNRNPH3,3.23E-69,-0.260452485,0.179,0.413,1.05E-64,4.36E-69,63.97870281,68.3600896,NA,NA,NO,63.97870281,NA
HNRNPK,2.10E-91,-0.394398453,0.482,0.788,6.82E-87,3.86E-91,86.1664915,90.41355027,NA,NA,NO,86.1664915,NA
