integrated_snn_res.0.3,bhaduriCNV,n,perc
0,1,5213,0.511278933
0,0,4983,0.488721067
1,0,7024,0.88252293
1,1,935,0.11747707
2,0,4380,0.645541636
2,1,2405,0.354458364
3,0,5126,0.860933826
3,1,828,0.139066174
4,0,3710,0.727165817
4,1,1392,0.272834183
5,0,4977,0.994405594
5,1,28,0.005594406
6,1,1790,0.580791694
6,0,1292,0.419208306
7,0,1253,0.613914748
7,1,788,0.386085252
8,0,1112,0.994633274
8,1,6,0.005366726
9,1,662,0.624528302
9,0,398,0.375471698
10,0,919,0.961297071
10,1,37,0.038702929
11,0,399,0.968446602
11,1,13,0.031553398
